"JOHN DOE","john.doe@gmail.com","+33612345678","42 RUE DE LA PAIX","APT 3B","75002","PARIS","FRA"
"JANE SMITH","jane.smith@outlook.com","+33698765432","15 AVENUE DES CHAMPS ELYSEES","","75008","PARIS","FRA"
"BOB WILSON","bob.wilson@yahoo.fr","+33645678901","8 BOULEVARD HAUSSMANN","BATIMENT C","75009","PARIS","FRA"
"ALICE MARTIN","alice.martin@orange.fr","+33678901234","23 RUE DU FAUBOURG SAINT HONORE","","75008","PARIS","FRA"
"CHARLIE BROWN","charlie.b@free.fr","+33634567890","5 PLACE DE LA REPUBLIQUE","","75003","PARIS","FRA"
"EMMA JOHNSON","emma.johnson@gmail.com","+33667890123","17 RUE DE RIVOLI","ETAGE 4","75001","PARIS","FRA"
"DAVID GARCIA","d.garcia@hotmail.com","+33656789012","31 AVENUE MONTAIGNE","","75008","PARIS","FRA"
"SOPHIE DUBOIS","sophie.dubois@laposte.net","+33689012345","9 RUE DE SEINE","","75006","PARIS","FRA"
"MICHAEL CHEN","m.chen@protonmail.com","+33623456789","44 RUE OBERKAMPF","","75011","PARIS","FRA"
"LAURA PETIT","laura.petit@sfr.fr","+33690123456","12 AVENUE DE LA GRANDE ARMEE","","75017","PARIS","FRA"
"JAMES TAYLOR","james.taylor@gmail.com","+33645612378","7 RUE DE BELLEVILLE","APT 2A","75020","PARIS","FRA"
"MARIE LEROY","marie.leroy@wanadoo.fr","+33678945612","28 BOULEVARD VOLTAIRE","","75011","PARIS","FRA"
"THOMAS MOREAU","thomas.moreau@bbox.fr","+33612378945","3 RUE DES MARTYRS","","75009","PARIS","FRA"
"SARAH BERNARD","sarah.b@icloud.com","+33698712345","55 RUE DE TURBIGO","RESIDENCE LES ARTS","75003","PARIS","FRA"
"LUCAS FONTAINE","lucas.fontaine@gmail.com","+33634598712","19 RUE LEPIC","","75018","PARIS","FRA"
"OLIVIA ROUX","olivia.roux@outlook.fr","+33667845912","6 AVENUE VICTOR HUGO","","75016","PARIS","FRA"
"PIERRE LAMBERT","pierre.lambert@free.fr","+33656734891","21 RUE DE LA ROQUETTE","","75011","PARIS","FRA"
"CAMILLE GIRARD","camille.g@orange.fr","+33689067123","38 RUE MOUFFETARD","","75005","PARIS","FRA"
"NICOLAS DUPONT","nicolas.dupont@gmail.com","+33623489567","14 BOULEVARD SAINT GERMAIN","","75005","PARIS","FRA"
"JULIE MERCIER","julie.mercier@hotmail.fr","+33690178234","47 RUE DU BAC","APT 5","75007","PARIS","FRA"
"ANTOINE LEFEBVRE","antoine.lef@gmail.com","+33645623178","2 RUE DE LYON","","69001","LYON","FRA"
"CLAIRE BONNET","claire.bonnet@yahoo.fr","+33678934521","16 COURS CHARLEMAGNE","","69002","LYON","FRA"
"HUGO ROUSSEAU","hugo.rousseau@sfr.fr","+33612367845","33 RUE DE LA REPUBLIQUE","BATIMENT A","69001","LYON","FRA"
"MANON FOURNIER","manon.f@laposte.net","+33698723456","8 PLACE BELLECOUR","","69002","LYON","FRA"
"RAPHAEL BLANC","raphael.blanc@gmail.com","+33634589012","25 AVENUE JEAN JAURES","","69007","LYON","FRA"
"LEA MOREL","lea.morel@orange.fr","+33667812345","11 RUE GARIBALDI","","69003","LYON","FRA"
"MAXIME SIMON","maxime.simon@free.fr","+33656723489","40 QUAI SAINT ANTOINE","","69002","LYON","FRA"
"CHLOE LAURENT","chloe.laurent@gmail.com","+33689034567","7 RUE EDOUARD HERRIOT","","69001","LYON","FRA"
"ALEXANDRE ROBIN","alex.robin@protonmail.com","+33623478901","52 AVENUE FOCH","","69006","LYON","FRA"
"INES CHEVALIER","ines.chev@outlook.com","+33690145678","18 RUE VICTOR HUGO","","69002","LYON","FRA"
"PAUL MARTINEZ","paul.martinez@gmail.com","+33645690123","4 ALLEE DES PLATANES","","13001","MARSEILLE","FRA"
"EMMA DUVAL","emma.duval@hotmail.com","+33678923456","29 BOULEVARD DE LA CANEBIERE","","13001","MARSEILLE","FRA"
"LOUIS BERTRAND","louis.b@wanadoo.fr","+33612390678","15 RUE PARADIS","APT 7","13006","MARSEILLE","FRA"
"ANNA LECLERC","anna.leclerc@gmail.com","+33698756123","36 AVENUE DU PRADO","","13008","MARSEILLE","FRA"
"GABRIEL MORIN","gabriel.morin@free.fr","+33634512890","22 RUE SAINT FERREOL","","13001","MARSEILLE","FRA"
"LENA GAUTHIER","lena.gauthier@sfr.fr","+33667834590","10 QUAI DU PORT","RESIDENCE MARINE","13002","MARSEILLE","FRA"
"VICTOR PERRIN","victor.perrin@bbox.fr","+33656701234","45 BOULEVARD MICHELET","","13008","MARSEILLE","FRA"
"ZOE CLEMENT","zoe.clement@icloud.com","+33689023456","3 RUE DE ROME","","13001","MARSEILLE","FRA"
